Name	chi2Pvalue	empPvalue
KEGG_CITRATE_CYCLE_TCA_CYCLE	7.98E-01	8.38E-01
KEGG_COLORECTAL_CANCER	5.41E-02	4.27E-02
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	6.16E-01	5.99E-01
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1.39E-02	2.92E-02
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	7.18E-01	6.92E-01
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	2.21E-01	2.08E-01
KEGG_DILATED_CARDIOMYOPATHY	1.12E-06	3.30E-06
KEGG_DNA_REPLICATION	3.98E-01	4.15E-01
KEGG_DORSO_VENTRAL_AXIS_FORMATION	3.43E-02	1.82E-02
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	3.43E-01	3.31E-01
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	8.13E-01	8.03E-01
KEGG_ECM_RECEPTOR_INTERACTION	3.10E-02	3.06E-02
KEGG_ENDOCYTOSIS	1.38E-01	1.48E-01
KEGG_ENDOMETRIAL_CANCER	3.79E-02	2.54E-02
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	3.94E-01	3.53E-01
KEGG_ERBB_SIGNALING_PATHWAY	4.13E-02	4.49E-02
KEGG_ETHER_LIPID_METABOLISM	7.65E-01	7.15E-01
KEGG_FATTY_ACID_METABOLISM	3.02E-01	2.93E-01
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	3.65E-01	3.62E-01
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1.96E-01	2.57E-01
KEGG_FOCAL_ADHESION	2.44E-04	3.09E-04
KEGG_FOLATE_BIOSYNTHESIS	9.14E-01	9.56E-01
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	3.33E-01	3.46E-01
KEGG_GALACTOSE_METABOLISM	2.96E-01	2.85E-01
KEGG_GAP_JUNCTION	4.55E-03	9.91E-03
KEGG_GLIOMA	1.21E-03	1.54E-03
KEGG_GLUTATHIONE_METABOLISM	4.96E-01	3.61E-01
KEGG_GLYCEROLIPID_METABOLISM	6.06E-03	2.88E-03
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1.18E-01	8.12E-02
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	7.35E-01	6.90E-01
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1.33E-01	2.30E-01
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	5.71E-01	6.75E-01
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1.32E-01	1.46E-01
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	5.30E-01	5.17E-01
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	3.13E-01	3.20E-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	5.63E-01	5.43E-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	7.54E-01	7.15E-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	5.30E-01	5.13E-01
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	5.00E-01	6.02E-01
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	5.79E-01	5.56E-01
KEGG_GNRH_SIGNALING_PATHWAY	9.83E-04	1.95E-03
KEGG_GRAFT_VERSUS_HOST_DISEASE	9.38E-01	9.36E-01
KEGG_HEDGEHOG_SIGNALING_PATHWAY	3.96E-01	2.59E-01
KEGG_HEMATOPOIETIC_CELL_LINEAGE	2.24E-01	1.68E-01
KEGG_HISTIDINE_METABOLISM	6.77E-01	6.42E-01
KEGG_HOMOLOGOUS_RECOMBINATION	1.23E-01	1.37E-01
KEGG_HUNTINGTONS_DISEASE	6.54E-02	5.61E-02
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	2.40E-04	3.45E-04
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1.82E-01	2.12E-01
KEGG_INSULIN_SIGNALING_PATHWAY	1.28E-02	2.69E-02
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	9.69E-01	9.38E-01
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.12E-02	1.60E-02
KEGG_LEISHMANIA_INFECTION	6.51E-01	6.21E-01
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	4.60E-02	4.97E-02
KEGG_LIMONENE_AND_PINENE_DEGRADATION	6.15E-01	6.17E-01
KEGG_LINOLEIC_ACID_METABOLISM	7.16E-01	6.62E-01
KEGG_LONG_TERM_DEPRESSION	2.88E-02	4.43E-02
KEGG_LONG_TERM_POTENTIATION	5.50E-03	1.04E-02
KEGG_LYSINE_DEGRADATION	8.30E-01	8.91E-01
KEGG_LYSOSOME	3.24E-01	3.14E-01
KEGG_MAPK_SIGNALING_PATHWAY	2.15E-02	2.88E-02
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1.08E-08	0.00E+00
KEGG_MELANOGENESIS	5.52E-03	6.51E-03
KEGG_MELANOMA	5.42E-03	6.26E-03
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	7.61E-01	7.04E-01
KEGG_MISMATCH_REPAIR	6.84E-01	7.00E-01
KEGG_MTOR_SIGNALING_PATHWAY	1.06E-01	1.99E-01
KEGG_N_GLYCAN_BIOSYNTHESIS	4.87E-01	5.93E-01
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	5.10E-01	4.78E-01
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	8.95E-04	1.39E-03
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	3.99E-02	6.23E-02
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	5.48E-02	6.46E-02
KEGG_NITROGEN_METABOLISM	6.60E-01	7.29E-01
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.92E-01	1.84E-01
KEGG_NON_HOMOLOGOUS_END_JOINING	5.68E-01	5.41E-01
KEGG_NON_SMALL_CELL_LUNG_CANCER	1.59E-03	2.40E-03
KEGG_NOTCH_SIGNALING_PATHWAY	3.38E-02	3.85E-02
KEGG_NUCLEOTIDE_EXCISION_REPAIR	8.49E-01	9.15E-01
KEGG_O_GLYCAN_BIOSYNTHESIS	1.62E-01	1.71E-01
KEGG_OLFACTORY_TRANSDUCTION	3.97E-02	6.35E-02
KEGG_ONE_CARBON_POOL_BY_FOLATE	8.09E-01	7.94E-01
KEGG_OOCYTE_MEIOSIS	1.23E-02	1.71E-02
KEGG_OTHER_GLYCAN_DEGRADATION	2.19E-01	1.88E-01
KEGG_OXIDATIVE_PHOSPHORYLATION	6.85E-01	5.73E-01
KEGG_P53_SIGNALING_PATHWAY	2.66E-01	2.68E-01
KEGG_PANCREATIC_CANCER	2.46E-04	3.86E-04
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	5.70E-02	7.24E-02
KEGG_PARKINSONS_DISEASE	4.13E-01	3.72E-01
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	9.20E-01	8.87E-01
KEGG_PATHWAYS_IN_CANCER	1.06E-04	6.10E-05
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	9.16E-01	9.05E-01
KEGG_PENTOSE_PHOSPHATE_PATHWAY	7.52E-01	7.15E-01
KEGG_PEROXISOME	9.18E-01	9.01E-01
KEGG_PHENYLALANINE_METABOLISM	3.49E-01	3.65E-01
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	3.57E-02	4.45E-02
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	8.79E-01	8.93E-01
KEGG_PPAR_SIGNALING_PATHWAY	1.71E-02	1.39E-02
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	7.32E-01	7.16E-01
KEGG_PRIMARY_IMMUNODEFICIENCY	9.54E-01	9.25E-01
KEGG_PRION_DISEASES	1.39E-01	1.50E-01
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.33E-02	2.25E-02
KEGG_PROPANOATE_METABOLISM	7.65E-01	8.44E-01
KEGG_PROSTATE_CANCER	5.08E-04	4.69E-04
KEGG_PROTEASOME	6.22E-01	6.70E-01
KEGG_PROTEIN_EXPORT	6.64E-01	7.17E-01
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	6.33E-01	6.10E-01
KEGG_PURINE_METABOLISM	1.48E-02	2.58E-02
KEGG_PYRIMIDINE_METABOLISM	8.27E-01	7.82E-01
KEGG_PYRUVATE_METABOLISM	9.34E-01	9.77E-01
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	6.72E-02	7.97E-02
KEGG_REGULATION_OF_AUTOPHAGY	9.89E-01	9.84E-01
KEGG_RENAL_CELL_CARCINOMA	7.47E-02	7.11E-02
KEGG_RENIN_ANGIOTENSIN_SYSTEM	8.17E-02	6.55E-02
KEGG_RETINOL_METABOLISM	6.03E-01	5.52E-01
KEGG_RIBOFLAVIN_METABOLISM	2.84E-01	2.81E-01
KEGG_RIBOSOME	8.18E-01	8.30E-01
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.02E-01	1.04E-01
KEGG_RNA_DEGRADATION	9.83E-01	9.95E-01
KEGG_RNA_POLYMERASE	8.57E-01	8.09E-01
KEGG_SELENOAMINO_ACID_METABOLISM	8.78E-01	8.16E-01
KEGG_SMALL_CELL_LUNG_CANCER	3.57E-03	2.54E-03
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	3.37E-01	2.43E-01
KEGG_SPHINGOLIPID_METABOLISM	9.10E-01	9.17E-01
KEGG_SPLICEOSOME	8.20E-01	7.63E-01
KEGG_STARCH_AND_SUCROSE_METABOLISM	1.98E-01	2.64E-01
KEGG_STEROID_BIOSYNTHESIS	9.20E-01	8.94E-01
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1.75E-01	1.77E-01
KEGG_SULFUR_METABOLISM	7.48E-01	7.81E-01
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	7.53E-01	6.87E-01
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	2.51E-01	2.49E-01
KEGG_TASTE_TRANSDUCTION	1.46E-02	3.45E-02
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	5.13E-01	6.80E-01
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	3.27E-01	4.21E-01
KEGG_TGF_BETA_SIGNALING_PATHWAY	2.71E-02	2.27E-02
KEGG_THYROID_CANCER	3.90E-02	1.18E-02
KEGG_TIGHT_JUNCTION	1.60E-02	1.18E-02
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	2.06E-01	2.03E-01
KEGG_TRYPTOPHAN_METABOLISM	3.39E-01	3.26E-01
KEGG_TYPE_I_DIABETES_MELLITUS	5.84E-01	6.60E-01
KEGG_TYPE_II_DIABETES_MELLITUS	3.16E-04	5.40E-04
KEGG_TYROSINE_METABOLISM	1.08E-01	1.34E-01
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	6.70E-02	2.83E-02
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	7.29E-01	8.66E-01
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	4.15E-01	5.18E-01
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1.19E-02	1.03E-02
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.53E-01	1.78E-01
KEGG_VEGF_SIGNALING_PATHWAY	9.42E-02	1.08E-01
KEGG_VIBRIO_CHOLERAE_INFECTION	2.22E-02	2.49E-02
KEGG_VIRAL_MYOCARDITIS	7.62E-01	7.32E-01
KEGG_WNT_SIGNALING_PATHWAY	2.12E-02	1.72E-02
