Name	chi2Pvalue	empPvalue
KEGG_SULFUR_METABOLISM	7.58E-01	7.43E-01
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	4.28E-01	4.62E-01
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	5.63E-02	5.90E-02
KEGG_TASTE_TRANSDUCTION	1.09E-02	1.85E-02
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	5.08E-01	4.71E-01
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	2.86E-01	3.43E-01
KEGG_TGF_BETA_SIGNALING_PATHWAY	7.46E-02	5.18E-02
KEGG_THYROID_CANCER	1.25E-01	4.31E-02
KEGG_TIGHT_JUNCTION	9.52E-03	8.33E-03
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.63E-01	1.82E-01
KEGG_TRYPTOPHAN_METABOLISM	1.11E-01	1.06E-01
KEGG_TYPE_I_DIABETES_MELLITUS	1.06E-01	1.15E-01
KEGG_TYPE_II_DIABETES_MELLITUS	6.45E-06	2.40E-06
KEGG_TYROSINE_METABOLISM	5.44E-02	8.07E-02
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1.57E-01	1.39E-01
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	3.27E-01	2.87E-01
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	8.72E-01	8.38E-01
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1.24E-03	1.77E-03
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	4.44E-02	4.70E-02
KEGG_VEGF_SIGNALING_PATHWAY	7.24E-02	9.11E-02
KEGG_VIBRIO_CHOLERAE_INFECTION	2.88E-03	1.85E-03
KEGG_VIRAL_MYOCARDITIS	4.98E-01	4.81E-01
KEGG_WNT_SIGNALING_PATHWAY	1.11E-03	1.69E-03
