Name	chi2Pvalue	empPvalue
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1.34E-01	1.08E-01
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	8.20E-02	1.15E-01
KEGG_DILATED_CARDIOMYOPATHY	2.85E-07	1.00E-06
KEGG_DNA_REPLICATION	3.88E-01	3.05E-01
KEGG_DORSO_VENTRAL_AXIS_FORMATION	2.19E-01	1.51E-01
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	6.05E-01	3.64E-01
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	6.66E-01	7.03E-01
KEGG_ECM_RECEPTOR_INTERACTION	8.21E-03	7.44E-03
KEGG_ENDOCYTOSIS	3.72E-01	3.32E-01
KEGG_ENDOMETRIAL_CANCER	8.25E-02	4.12E-02
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	9.49E-02	6.20E-02
KEGG_ERBB_SIGNALING_PATHWAY	1.15E-02	9.19E-03
KEGG_ETHER_LIPID_METABOLISM	7.27E-01	6.85E-01
KEGG_FATTY_ACID_METABOLISM	6.07E-01	4.67E-01
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1.93E-02	2.26E-02
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	6.53E-03	1.06E-02
KEGG_FOCAL_ADHESION	4.39E-08	1.00E-07
KEGG_FOLATE_BIOSYNTHESIS	1.90E-01	1.74E-01
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	3.44E-01	3.80E-01
KEGG_GALACTOSE_METABOLISM	3.38E-01	4.15E-01
KEGG_GAP_JUNCTION	4.41E-02	3.81E-02
KEGG_GLIOMA	7.80E-03	1.11E-02
KEGG_GLUTATHIONE_METABOLISM	5.44E-01	5.48E-01
KEGG_GLYCEROLIPID_METABOLISM	4.61E-02	2.98E-02
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	3.45E-02	2.55E-02
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	5.09E-01	4.34E-01
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	5.95E-01	5.11E-01
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1.84E-01	1.99E-01
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	2.57E-02	2.69E-02
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	9.66E-01	9.58E-01
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.06E-02	1.69E-02
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	5.55E-01	7.02E-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	7.89E-01	8.18E-01
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	4.40E-01	3.81E-01
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	4.28E-01	5.46E-01
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	4.98E-01	5.55E-01
KEGG_GNRH_SIGNALING_PATHWAY	3.92E-02	2.25E-02
KEGG_GRAFT_VERSUS_HOST_DISEASE	8.37E-01	8.46E-01
KEGG_HEDGEHOG_SIGNALING_PATHWAY	3.47E-02	2.92E-02
KEGG_HEMATOPOIETIC_CELL_LINEAGE	3.64E-02	4.04E-02
KEGG_HISTIDINE_METABOLISM	6.60E-01	5.27E-01
KEGG_HOMOLOGOUS_RECOMBINATION	1.26E-01	1.12E-01
KEGG_HUNTINGTONS_DISEASE	4.14E-03	4.27E-03
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	4.83E-07	1.90E-06
KEGG_INOSITOL_PHOSPHATE_METABOLISM	3.03E-01	3.73E-01
KEGG_INSULIN_SIGNALING_PATHWAY	1.11E-04	9.60E-05
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	6.05E-01	6.70E-01
KEGG_JAK_STAT_SIGNALING_PATHWAY	3.15E-02	3.85E-02
KEGG_LEISHMANIA_INFECTION	7.06E-01	5.21E-01
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	2.85E-05	5.16E-05
KEGG_LIMONENE_AND_PINENE_DEGRADATION	9.28E-01	8.73E-01
KEGG_LINOLEIC_ACID_METABOLISM	8.89E-01	8.99E-01
KEGG_LONG_TERM_DEPRESSION	1.20E-02	1.77E-02
KEGG_LONG_TERM_POTENTIATION	3.07E-02	2.13E-02
KEGG_LYSINE_DEGRADATION	9.14E-01	8.62E-01
KEGG_LYSOSOME	1.36E-01	9.86E-02
KEGG_MAPK_SIGNALING_PATHWAY	4.42E-04	3.36E-04
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	4.65E-05	8.60E-05
KEGG_MELANOGENESIS	2.42E-02	8.29E-03
KEGG_MELANOMA	6.36E-02	1.17E-01
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	6.69E-01	4.48E-01
KEGG_MISMATCH_REPAIR	8.70E-02	8.02E-02
KEGG_MTOR_SIGNALING_PATHWAY	1.73E-01	1.23E-01
KEGG_N_GLYCAN_BIOSYNTHESIS	8.81E-01	8.72E-01
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	8.34E-03	5.87E-03
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	3.17E-03	2.13E-03
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	3.96E-02	3.18E-02
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	2.12E-01	2.21E-01
KEGG_NITROGEN_METABOLISM	3.40E-01	4.40E-01
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	2.98E-01	3.47E-01
KEGG_NON_HOMOLOGOUS_END_JOINING	8.53E-01	8.37E-01
KEGG_NON_SMALL_CELL_LUNG_CANCER	2.41E-03	4.57E-03
KEGG_NOTCH_SIGNALING_PATHWAY	1.67E-01	1.50E-01
KEGG_NUCLEOTIDE_EXCISION_REPAIR	2.67E-01	2.84E-01
KEGG_O_GLYCAN_BIOSYNTHESIS	3.20E-01	2.21E-01
KEGG_OLFACTORY_TRANSDUCTION	4.29E-04	3.72E-04
KEGG_ONE_CARBON_POOL_BY_FOLATE	6.64E-01	6.72E-01
KEGG_OOCYTE_MEIOSIS	6.97E-02	2.90E-02
KEGG_OTHER_GLYCAN_DEGRADATION	5.78E-01	5.84E-01
KEGG_OXIDATIVE_PHOSPHORYLATION	1.02E-01	1.02E-01
KEGG_P53_SIGNALING_PATHWAY	3.69E-01	3.58E-01
KEGG_PANCREATIC_CANCER	1.55E-02	2.24E-02
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1.71E-02	1.66E-02
KEGG_PARKINSONS_DISEASE	9.74E-02	9.19E-02
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	9.72E-01	9.79E-01
KEGG_PATHWAYS_IN_CANCER	4.00E-07	7.00E-07
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	7.67E-01	6.65E-01
KEGG_PENTOSE_PHOSPHATE_PATHWAY	9.80E-01	9.70E-01
KEGG_PEROXISOME	7.13E-01	7.75E-01
KEGG_PHENYLALANINE_METABOLISM	5.51E-01	4.02E-01
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	3.72E-02	4.99E-02
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	6.57E-01	6.43E-01
KEGG_PPAR_SIGNALING_PATHWAY	1.58E-01	1.69E-01
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	7.84E-01	7.37E-01
KEGG_PRIMARY_IMMUNODEFICIENCY	7.12E-01	7.44E-01
KEGG_PRION_DISEASES	8.38E-02	6.00E-02
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	8.82E-02	5.52E-02
KEGG_PROPANOATE_METABOLISM	6.64E-01	6.26E-01
KEGG_PROSTATE_CANCER	3.59E-03	2.98E-03
KEGG_PROTEASOME	9.87E-01	9.96E-01
KEGG_PROTEIN_EXPORT	4.43E-01	5.06E-01
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	8.12E-01	9.02E-01
KEGG_PURINE_METABOLISM	7.01E-03	4.39E-03
KEGG_PYRIMIDINE_METABOLISM	7.93E-01	8.32E-01
KEGG_PYRUVATE_METABOLISM	9.13E-01	9.18E-01
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	2.06E-06	3.60E-06
KEGG_REGULATION_OF_AUTOPHAGY	3.06E-01	2.52E-01
KEGG_RENAL_CELL_CARCINOMA	6.42E-01	5.80E-01
KEGG_RENIN_ANGIOTENSIN_SYSTEM	6.56E-01	7.09E-01
KEGG_RETINOL_METABOLISM	7.22E-01	5.71E-01
KEGG_RIBOFLAVIN_METABOLISM	5.43E-01	5.29E-01
KEGG_RIBOSOME	9.26E-01	9.45E-01
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	2.33E-01	2.49E-01
KEGG_RNA_DEGRADATION	8.48E-01	8.69E-01
KEGG_RNA_POLYMERASE	6.31E-01	7.26E-01
KEGG_SELENOAMINO_ACID_METABOLISM	5.72E-01	4.85E-01
KEGG_SMALL_CELL_LUNG_CANCER	7.72E-04	2.83E-03
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	2.55E-01	2.40E-01
KEGG_SPHINGOLIPID_METABOLISM	9.05E-01	9.35E-01
KEGG_SPLICEOSOME	8.64E-01	8.43E-01
KEGG_STARCH_AND_SUCROSE_METABOLISM	4.64E-01	5.46E-01
KEGG_STEROID_BIOSYNTHESIS	5.06E-01	4.27E-01
KEGG_STEROID_HORMONE_BIOSYNTHESIS	3.52E-01	3.00E-01
KEGG_SULFUR_METABOLISM	7.81E-01	8.50E-01
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	9.66E-02	1.19E-01
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	2.17E-01	2.25E-01
KEGG_TASTE_TRANSDUCTION	2.76E-02	2.89E-02
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	9.30E-01	9.54E-01
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	4.50E-01	3.59E-01
KEGG_TGF_BETA_SIGNALING_PATHWAY	2.35E-01	2.39E-01
KEGG_THYROID_CANCER	2.62E-02	8.98E-03
KEGG_TIGHT_JUNCTION	5.72E-03	8.02E-03
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.97E-01	2.13E-01
KEGG_TRYPTOPHAN_METABOLISM	7.58E-01	6.27E-01
KEGG_TYPE_I_DIABETES_MELLITUS	5.58E-01	6.16E-01
KEGG_TYPE_II_DIABETES_MELLITUS	3.16E-08	1.00E-07
KEGG_TYROSINE_METABOLISM	7.78E-01	6.29E-01
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	5.78E-01	6.22E-01
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	8.88E-01	8.89E-01
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	8.10E-01	7.04E-01
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1.05E-03	1.06E-03
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	4.00E-01	3.74E-01
KEGG_VEGF_SIGNALING_PATHWAY	1.77E-01	1.52E-01
KEGG_VIBRIO_CHOLERAE_INFECTION	2.57E-03	2.42E-03
KEGG_VIRAL_MYOCARDITIS	6.24E-04	1.03E-03
KEGG_WNT_SIGNALING_PATHWAY	4.52E-02	2.28E-02
