gene	exp	exp
DPH2	0	0.0230763842
ATP6V0B	0	0.0166544389
B4GALT2	0	0.0166544389
SLC6A9	0	0.00598085999
CCDC24	0	0.0189936034
KLF17	0	0.00261233592
DMAP1	0	0.0192298755
ERI3	0	0.00867492404
RNF220	0	0.00132493862
EIF2B3	0	0.0173908127
HECTD3	0	0.0171110664
UROD	0	0.0171110664
ZSWIM5	0	0.0168455712
LOC400752	0	0.00294710984
HPDL	0	0.00749740401
MUTYH	0	0.0118676601
TOE1	0	0.0149508236
TESK2	0	0.00686334408
CCDC163P	0	0.00551719496
MMACHC	0	1
PRDX1	0	0.00629732987
AKR1A1	0	0.00762462244
NASP	0	0.0102950717
CCDC17	0	0.04156
GPBP1L1	0	0.04156
RPS15AP10	0	0.04156
IPP	0	0.0300144186
MAST2	0	1
PIK3R3	0	0.0153224829
TSPAN1	0	0.007253732
POMGNT1	0	0.00735147056
LURAP1	0	0.00728621136
RAD54L	0	0.0134356209
LRRC41	0	0.0144153278
UQCRH	0	0.0114083637
NSUN4	0	0.00934764628
FAAH	0	0.0208612775
LOC729041	0	0.0233650064
DMBX1	0	0.0426693901
MKNK1-AS1	0	0.0224661697
KNCN	0	0.018504791
MKNK1	0	0.0201829088
MOB3C	0	0.0221112857
ATPAF1	0	0.0168611
EFCAB14	0	0.00878779122
TEX38	0	0.0300996548
EFCAB14-AS1	0	0.0195970513
CYP4X1	0	0.0372878637
CYP4Z1	0	0.0352834286
CYP4A22	0	0.0239171706
LINC00853	0	0.0120979386
PDZK1IP1	0	0.0157104368
TAL1	0	0.0148648866
STIL	0	0.0148648866
TRABD2B	0	0.0011586426
SKINTL	0	0.0349309229
SLC5A9	0	0.0242496944
SPATA6	0	0.0181584098
AGBL4	0	0.000640379813
BEND5	0	0.0209455475
ELAVL4	0	0.0102061282
DMRTA2	0	4.28639432e-06
FAF1	0	9.99763394e-09
CDKN2C	0	4.13107115e-09
C1orf185	0	7.89368684e-06
RNF11	0	0.00594509336
TTC39A	0	0.000815190337
EPS15	0	0.00155248092
OSBPL9	0	0.000611243331
NRD1	0	0.00256528482
MIR761	0	0.0227602012
RAB3B	0	0.00808195561
ZFYVE9	0	0.0100699736
CC2D1B	0	0.0142631266
ORC1	0	0.00696735936
PRPF38A	0	0.00696606794
ZCCHC11	0	0.00705562203
GPX7	0	0.00508532051
FAM159A	0	0.00758722924
SELRC1	0	0.0159031451
LRP8	0	0.0280379309
GLIS1	0	0.0252042803
NDC1	0	0.0252042803
YIPF1	0	0.04185
DIO1	0	0.035162808
HSPB11	0	0.0318676874
LRRC42	0	0.0318676874
LDLRAD1	0	0.0326306791
CYB5RL	0	0.018271291
MRPL37	0	0.0136457144
SSBP3	0	0.000188263876
ACOT11	0	0.000252608866
FAM151A	0	0.00433176206
HEATR8-TTC4	0	0.00163739522
TTC4	0	0.00138660873
PARS2	0	0.0189901126
TTC22	0	0.0189901126
C1orf177	0	0.015435626
TMEM61	0	0.0219446553
BSND	0	0.0219500857
PCSK9	0	0.04404
PPAP2B	0	0.001634666
PRKAA2	0	0.0153180497
C1orf168	0	0.00483652997
C8A	0	0.0105400509
C8B	0	0.0287802415
DAB1	0	8.32620062e-09
OMA1	0	0.00121324141
JUN	0	0.0212493335
LOC100131060	0	0.0221019721
HSD52	0	0.0257263409
FGGY	0	0.000179864886
MIR4711	0	0.00238814553
HOOK1	0	0.00326714621
CYP2J2	0	0.00303195252
C1orf87	0	0.000471799012
NFIA	0	0.00853505338
MGC34796	0	0.0147286967
TM2D1	0	0.02135816
INADL	0	0.000380789403
L1TD1	0	0.00111266701
KANK4	0	0.00461352479
USP1	0	0.00559553136
DOCK7	0	0.0112432802
ATG4C	0	0.0233986051
LINC00466	0	0.00102501929
FOXD3	0	0.00186996338
PGM1	0	0.000251971764
ROR1	0	6.12946185e-07
UBE2U	0	0.00182464587
CACHD1	0	0.00257456765
MIR4794	0	0.00837820492
RAVER2	0	0.0106350161
JAK1	0	0.018026794
AK4	0	0.000118473051
DNAJC6	0	8.72044173e-05
LEPR	0	2.5827505e-05
PDE4B	0	0.00047449355
SGIP1	0	0.00176275859
MIR3117	0	0.00612099713
TCTEX1D1	0	0.0155540318
INSL5	0	0.0112729041
WDR78	0	0.00435406452
MIER1	0	1
SLC35D1	0	0.00702373396
SERBP1	0	0.0183160452
GADD45A	0	0.0089279932
GNG12	0	0.01718
GNG12-AS1	0	0.00069501488
DIRAS3	0	0.00504383
WLS	0	0.000217125628
MIR1262	0	0.00413746205
LRRC7	0	0.00645160424
LRRC40	0	0.04178
CTH	0	0.0126225584
PTGER3	0	0.00264538729
ZRANB2-AS1	0	0.0041079133
ZRANB2	0	0.00391659377
MIR186	0	0.00369570372
ZRANB2-AS2	0	0.00322363101
NEGR1	0	3.01104916e-05
NEGR1-IT1	0	0.0365764595
LRRIQ3	0	0.00877836786
FPGT-TNNI3K	0	0.00932486253
TNNI3K	0	0.00911521647
TYW3	0	0.00137282485
LHX8	0	0.000980689728
SLC44A5	0	0.00178190316
ST6GALNAC3	0	2.8890224e-06
ST6GALNAC5	0	0.00477517531
PIGK	0	0.0146571596
AK5	0	0.00144695702
ZZZ3	0	0.00257387977
GIPC2	0	0.0299240488
MGC27382	0	0.0171690097
PTGFR	0	0.0377375351
IFI44	0	0.0144015031
LPHN2	0	6.43620805e-05
MIR548AP	0	0.000902760356
TTLL7	0	0.000363221819
PRKACB	0	1.26136143e-06
SAMD13	0	0.00476995034
UOX	0	0.0190332353
DNASE2B	0	0.015682819
RPF1	0	0.02403
GNG5	0	0.02403
LPAR3	0	0.000117923454
MCOLN2	0	0.0049522736
MCOLN3	0	0.010020855
WDR63	0	0.0120528801
MIR4423	0	0.04808
SYDE2	0	0.0408113686
C1orf52	0	0.00740424051
BCL10	0	0.00484615343
LOC646626	0	0.00707878526
DDAH1	0	0.00586689629
ZNHIT6	0	0.04417
COL24A1	0	0.000605316521
ODF2L	0	0.00332698442
CLCA2	0	0.00273356972
CLCA1	0	0.00155685478
CLCA4	0	0.0280384941
CLCA3P	0	0.0289482047
SH3GLB1	0	0.0278665165
LMO4	0	4.75269366e-05
LOC100505768	0	0.000408513398
PKN2	0	0.0311986503
GTF2B	0	0.0342121259
CCBL2	0	0.038313712
GBP5	0	0.00659629139
LOC729930	0	0.00659629139
GBP6	0	0.0153871657
GBP1P1	0	0.020772153
LRRC8B	0	0.0185824746
FLJ27354	0	0.0107582543
LRRC8C	0	0.0113517882
LRRC8D	0	0.0268691734
HFM1	0	0.0281613045
CDC7	0	0.0182822186
TGFBR3	0	0.00137145063
BRDT	0	0.00355314606
EPHX4	0	0.0100968294
BTBD8	0	0.00636
C1orf146	0	0.009312
GLMN	0	0.00888490422
RPAP2	0	0.00921342344
GFI1	0	0.00462488216
EVI5	0	1
RPL5	0	0.00989549037
FAM69A	0	0.00703661225
SNORD21	0	0.00936788429
SNORA66	0	0.0102899007
MTF2	0	0.00230162372
TMED5	0	0.0389311548
CCDC18	0	0.0406246117
LOC100131564	0	0.0414921118
DR1	0	0.0387700388
FNBP1L	0	0.0300539756
ABCA4	0	0.0103510484
ARHGAP29	0	0.01722
ABCD3	0	0.0176862773
F3	0	0.0181716636
SLC44A3	0	0.0296181195
CNN3	0	0.00621159647
LOC729970	0	0.02551
ALG14	0	0.00356247375
TMEM56	0	0.01164
TMEM56-RWDD3	0	0.01164
FLJ31662	0	0.04862
PTBP2	0	0.0290021433
DPYD	0	8.87153449e-05
DPYD-AS1	0	0.0111576247
MIR137HG	0	0.000190041885
MIR2682	0	0.000220561028
MIR137	0	0.000216979075
LOC729987	0	0.0151085492
SNX7	0	0.00183360015
LPPR5	0	0.00133118962
LOC100129620	0	0.0196254118
PALMD	0	0.00557905333
RTCA	0	0.016845679
MIR553	0	0.0180699929
CDC14A	0	0.0102684954
GPR88	0	0.0167813564
LOC100128787	0	0.00672821312
VCAM1	0	0.00302150251
SLC30A7	0	0.02968
DPH5	0	0.02968
S1PR1	0	0.0419
OLFM3	0	1.49846178e-05
DNAJA1P5	0	0.00075040214
COL11A1	0	0.00907404575
RNPC3	0	0.000912598249
AMY2B	0	0.000912598249
ACTG1P4	0	0.000824840873
AMY2A	0	0.00412
AMY1A	0	0.00049717357
LOC100129138	0	0.0107189076
PRMT6	0	0.043206424
NTNG1	0	0.00349870738
VAV3	0	0.00033207984
VAV3-AS1	0	0.0189
SLC25A24	0	0.00200898444
NBPF4	0	0.00202343223
FAM102B	0	0.00313770589
HENMT1	0	0.00608547572
PRPF38B	0	0.00553320298
FNDC7	0	0.00382998532
KIAA1324	0	0.000133053566
SARS	0	9.55911296e-05
CELSR2	0	0.000125247035
PSRC1	0	8.24611319e-05
MYBPHL	0	6.40989975e-05
SORT1	0	9.39007606e-05
PSMA5	0	0.000164357542
SYPL2	0	0.000525951692
ATXN7L2	0	0.001211421
CYB561D1	0	0.001211421
AMIGO1	0	0.00202846647
GPR61	0	0.00204140746
GNAI3	0	0.00329342487
MIR197	0	0.0184520892
GNAT2	0	0.0184520892
AMPD2	0	0.0184520892
GSTM2	0	0.0063513525
GSTM1	0	0.0175129553
GSTM5	0	0.0152817466
GSTM3	0	0.0152817466
EPS8L3	0	0.0152817466
CSF1	0	0.0107405712
AHCYL1	0	0.0150799531
STRIP1	0	0.017232936
ALX3	0	0.0172831923
UBL4B	0	0.0172831923
SLC6A17	0	0.011976252
KCNC4	0	0.03135
LAMTOR5	0	0.00776693557
LAMTOR5-AS1	0	0.00776693557
PROK1	0	0.00618770472
CYMP	0	0.00147435755
KCNA10	0	0.0130686827
KCNA2	0	9.04009219e-05
KCNA3	0	3.72677054e-05
CD53	0	1
PGCP1	0	0.0242980847
OVGP1	0	0.0184973722
WDR77	0	0.0184973722
ATP5F1	0	0.0104626171
C1orf162	0	0.00100626659
ADORA3	0	0.000511905295
RAP1A	0	4.16763717e-06
LOC100129269	0	0.03603
FAM212B	0	3.947789e-05
LOC100506343	0	4.00309896e-05
DDX20	0	3.947789e-05
KCND3	0	1.43070459e-05
LOC643355	0	0.00565226819
CTTNBP2NL	0	0.00204032116
WNT2B	0	0.0113039839
ST7L	0	0.00628839506
CAPZA1	0	0.00801580924
MOV10	0	0.032
RHOC	0	0.032
MAGI3	0	0.000506729691
PHTF1	0	0.000340522401
RSBN1	0	0.000506445729
PTPN22	0	0.000511666506
AP4B1-AS1	0	0.000133997944
BCL2L15	0	0.000145970571
AP4B1	0	0.00011988654
DCLRE1B	0	9.91117018e-05
HIPK1	0	0.000250279115
OLFML3	0	0.00166603533
SYT6	0	6.0162201e-05
TRIM33	0	0.0257271339
DENND2C	0	0.003119635
BCAS2	0	0.0136977503
AMPD1	0	0.00400582107
NRAS	0	0.00375687851
CSDE1	0	0.00328518579
SIKE1	0	0.00223475077
SYCP1	0	0.00390857888
TSHB	0	0.00345889368
TSPAN2	0	0.00200776312
NGF	0	0.00552032049
CASQ2	0	0.0195973619
NHLH2	0	0.00635261309
SLC22A15	0	0.00289911879
MAB21L3	0	0.0280940603
IGSF3	0	0.02164
MIR320B1	0	0.02164
CD2	0	0.0417265512
PTGFRN	0	4.82649889e-07
CD101	0	5.0183803e-07
TTF2	0	0.00015353522
MIR942	0	0.0198638657
TRIM45	0	0.0198638657
VTCN1	0	0.0198638657
MAN1A2	0	1
FAM46C	0	6.31563548e-05
TBX15	0	0.00830773733
WARS2	0	0.0255459897
HSD3BP4	0	0.0129376428
LINC00622	0	0.0111392118
ZNF697	0	0.00552073339
PHGDH	0	0.00232404893
HMGCS2	0	0.00083589555
REG4	0	0.0245599391
NBPF7	0	0.00768659283
ADAM30	0	1.99506605e-08
NOTCH2	0	8.64127425e-09
LOC100288142	0	0.00633012618
NBPF10	0	0.00633012618
HFE2	0	0.0150880411
TXNIP	0	0.0127093841
POLR3GL	0	0.0112449265
ANKRD34A	0	0.0112449265
LIX1L	0	0.0100244417
RBM8A	0	0.00652129759
PEX11B	0	0.00652129759
ITGA10	0	0.00688552968
ANKRD35	0	0.00519287184
PIAS3	0	0.0355027887
NUDT17	0	0.0355027887
POLR3C	0	0.0355027887
RNF115	0	0.0264405975
CD160	0	0.03285
PDZK1	0	0.03285
GPR89A	0	0.03285
LOC728989	0	0.0102131917
NBPF13P	0	0.00291726481
PRKAB2	0	0.0002419444
PDIA3P	0	0.000100436529
FMO5	0	4.9218802e-06
CHD1L	0	3.1534357e-06
LINC00624	0	3.19632982e-07
BCL9	0	3.16815001e-05
ACP6	0	0.0261
HIST2H4A	0	0.000728503537
HIST2H3C	0	0.000708690455
HIST2H2AA4	0	0.000678573486
HIST2H2BC	0	0.00067258265
HIST2H2BE	0	0.000683556297
HIST2H2AC	0	0.000683556297
HIST2H2AB	0	0.000683556297
BOLA1	0	0.000700963675
SV2A	0	0.000710461216
SF3B4	0	0.000721909958
MTMR11	0	0.000733586601
OTUD7B	0	0.000818405104
VPS45	0	0.00200954851
ANP32E	0	0.00769164019
CA14	0	0.00540217306
APH1A	0	0.00625943887
C1orf54	0	0.00992332314
C1orf51	0	0.00900807143
MRPS21	0	0.0104027379
PRPF3	0	0.00740393373
RPRD2	0	0.00671320105
TARS2	0	0.000135402029
ECM1	0	2.19075014e-05
LINC00568	0	8.4653852e-06
ADAMTSL4	0	0.000261700763
MIR4257	0	0.000133316006
MCL1	0	0.000524224905
ENSA	0	0.0254457262
GOLPH3L	0	0.0221772297
CTSK	0	0.03752
ARNT	0	0.03752
SETDB1	0	0.00116483662
CERS2	0	0.00146490192
ANXA9	0	0.000243743995
FAM63A	0	0.000220156716
PRUNE	0	0.000306782051
BNIPL	0	0.000349355172
C1orf56	0	0.000741890338
CDC42SE1	0	0.000930191414
MLLT11	0	0.00139546805
GABPB2	0	0.00210464242
TNFAIP8L2-SCNM1	0	0.00359338462
LYSMD1	0	0.00359338462
SCNM1	0	0.00359338462
TMOD4	0	0.00359338462
VPS72	0	0.0013051926
PIP5K1A	0	0.000421762053
PSMD4	0	0.000361796554
ZNF687	0	0.00030477908
PI4KB	0	0.000233667677
RFX5	0	0.000130091278
SELENBP1	0	0.000141779783
PSMB4	0	0.00194322198
POGZ	0	0.00194322198
CGN	0	0.0239288103
TUFT1	0	0.0100699527
MIR554	0	0.0237595775
SNX27	0	0.00223434016
CELF3	0	0.00304810687
RIIAD1	0	0.00292994089
MRPL9	0	0.00579481419
OAZ3	0	0.00630054499
TDRKH	0	0.00454445685
LINGO4	0	0.0115335781
RORC	0	0.0204207496
C2CD4D	0	0.0257054343
LOC100132111	0	0.0257054343
THEM5	0	0.018741173
THEM4	0	0.026763919
S100A10	0	0.0128924716
S100A11	0	0.00890805212
TCHHL1	0	0.00981401006
TCHH	0	0.00795112256
LCE5A	0	0.02208
CRCT1	0	0.02208
SPRR4	0	0.0273471029
SPRR1A	0	0.029894802
SPRR3	0	0.0287107009
SPRR1B	0	0.0272139004
SPRR2D	0	0.0267985186
SPRR2A	0	0.027209369
SPRR2B	0	0.0269630544
SPRR2E	0	0.0258729957
SPRR2F	0	0.02521621
LELP1	0	0.00877026621
PRR9	0	0.00702152231
LOR	0	0.00642542474
PGLYRP3	0	0.00924956634
S100A8	0	0.000279984287
S100A7A	0	0.000500287985
S100A7L2	0	0.00145055016
S100A7	0	1
S100A6	0	0.00572914193
S100A5	0	0.0068323773
S100A4	0	0.0233867558
S100A3	0	0.0238444666
INTS3	0	0.0243580978
SLC27A3	0	0.0247302385
GATAD2B	0	0.0340377581
DENND4B	0	0.0442489811
CRTC2	0	0.0439838945
SLC39A1	0	0.0439838945
CREB3L4	0	0.0224211938
JTB	0	0.0144688655
RAB13	0	0.0138635897
RPS27	0	0.0138635897
NUP210L	0	0.0030361791
TPM3	0	0.00126352149
MIR190B	0	0.0014412279
C1orf189	0	0.00155650405
C1orf43	0	0.00156462751
UBAP2L	0	2.16902142e-05
HAX1	0	5.23110885e-06
AQP10	0	2.86448209e-06
ATP8B2	0	4.4838627e-06
